Date,Description,Category,Amount
2025-01-03,Uber ride to airport,Transportation,34.50
2025-01-04,Whole Foods groceries,Food & Dining,87.23
2025-01-05,Netflix subscription,Subscriptions,15.99
2025-01-06,Shell gas station,Transportation,52.40
2025-01-07,Chipotle lunch,Food & Dining,14.85
2025-01-08,Amazon phone case,Shopping,24.99
2025-01-09,Electric bill,Utilities,118.60
2025-01-10,Spotify Premium,Subscriptions,10.99
2025-01-11,Target household items,Shopping,63.47
2025-01-12,Movie tickets,Entertainment,28.00
2025-01-13,Starbucks coffee,Food & Dining,6.75
2025-01-14,Gym membership,Health,45.00
2025-01-15,Internet bill,Utilities,79.99
2025-01-16,Uber Eats dinner,Food & Dining,32.18
2025-01-17,Concert tickets,Entertainment,95.00
2025-01-18,CVS pharmacy,Health,18.50
2025-01-19,Gas station fill-up,Transportation,48.75
2025-01-20,iCloud storage,Subscriptions,2.99
2025-01-21,Trader Joe's groceries,Food & Dining,54.30
2025-01-22,New running shoes,Shopping,129.99
2025-01-23,Water bill,Utilities,42.15
2025-01-24,Lyft ride,Transportation,22.60
2025-01-25,Sushi restaurant,Food & Dining,47.80
2025-01-26,YouTube Premium,Subscriptions,13.99
2025-01-27,Bowling night,Entertainment,35.00
2025-01-28,Dentist copay,Health,25.00
2025-01-29,Phone bill,Utilities,85.00
2025-01-30,H&M clothing,Shopping,58.40
2025-01-31,Parking garage,Transportation,15.00
2025-02-01,Costco groceries,Food & Dining,142.67
2025-02-02,Oil change,Transportation,39.99
2025-02-03,Board game cafe,Entertainment,22.00
2025-02-04,Adobe Creative Cloud,Subscriptions,54.99
2025-02-05,Pizza delivery,Food & Dining,26.50
2025-02-06,Amazon batteries and cables,Shopping,19.85
2025-02-07,Eye doctor copay,Health,40.00
2025-02-08,Gas bill,Utilities,67.30
2025-02-09,Thai restaurant,Food & Dining,38.90
2025-02-10,Escape room,Entertainment,30.00
2025-02-11,Uber to downtown,Transportation,18.25
2025-02-12,Vitamins and supplements,Health,33.70
